lat,lon,name,city,address,facilityType,riskTier,nearestHighway,distChargerMi,nearestGapMi
32.4455,-99.808,Tlc Enterprises,ABILENE,6202 South 7th,Truck Rental,Off-corridor,,0.0,0.0
35.1912,-101.7871,Penske Amarillo,AMARILLO,2004 S Bolton St,Truck Leasing & Maintenance,Off-corridor,,0.0,0.0
32.7365,-97.0509,Penske Arlington,ARLINGTON,3206 E Abram St,Truck Rental,Tier 1,I-35,2.2,1.1
32.2005,-95.8537,Pit Stop Oil &amp; Lube,ATHENS,406 S Palestine St,Truck Rental,Off-corridor,,0.0,0.0
33.2335,-96.9722,Storage King,AUBREY,10550 Fishtrap Road,Truck Rental,Tier 1,I-35,0.8,1.9
30.3271,-97.6593,Penske Austin,AUSTIN,8201 Tuscany Way,Truck Rental,Tier 1,I-35,2.2,1.6
30.4782,-97.7978,Home Depot #0509,AUSTIN,11301 Lakeline Blvd,Truck Rental,Tier 1,I-35,0.6,1.7
30.3869,-97.734,Home Depot #6839,AUSTIN,10515 N Mopac Expy,Truck Rental,Tier 1,I-35,0.3,1.6
30.1719,-97.7856,Penske South Austin,AUSTIN,8800 S Congress Ave,Truck Rental,Tier 1,I-35,0.7,1.0
30.1026,-97.2846,Home Depot #6575,BASTROP,525 Hwy 71 W,Truck Rental,Off-corridor,,0.0,0.0
29.7747,-94.9758,Storage King Usa Baytown,BAYTOWN,4624 Garth Rd,Truck Rental,Tier 2,I-10,2.3,0.7
30.068,-94.1433,Penske Beaumont,BEAUMONT,4620 College St,Truck Rental,Tier 2,I-10,2.3,2.6
30.3368,-97.9697,Home Depot #6531,BEE CAVE,3600 Ranch Rd 620 S,Truck Rental,Tier 1,I-35,1.7,1.0
30.9916,-97.4978,Link N Log Portable Bldg,BELTON,7401 S Ih 35 Service Rd,Truck Rental,Tier 1,I-35,11.2,11.1
29.778,-98.7411,Home Depot #6556,BOERNE,633 W Bandera Rd,Truck Rental,Tier 2,I-10,1.3,0.9
30.1399,-96.3897,Home Depot #8518,BRENHAM,2801 Wood Ridge Blvd,Truck Rental,Off-corridor,,0.0,0.0
29.7936,-98.4243,Home Depot #6989,BULVERDE,128 Bulverde Crossing,Truck Rental,Tier 2,I-10,9.7,0.1
34.0698,-98.5693,Red River Self Storage,BURKBURNETT,9 Commerce Dr,Truck Rental,Off-corridor,,0.0,0.0
32.9883,-96.9267,Penske Carrollton Eisenhower,CARROLLTON,2705 Eisenhower St,Truck Rental,Tier 1,I-35,1.2,1.9
32.9734,-96.8868,Home Depot #6555,CARROLLTON,2011 Keller Springs Rd,Truck Rental,Tier 1,I-35,2.0,1.9
30.5155,-97.8678,Home Depot #6585,CEDAR PARK,2700 E Whitestone Blvd,Truck Rental,Tier 1,I-35,2.8,1.7
29.542,-95.0505,Home Depot #6560,CLEAR LAKE SHORES,507 Fm 2094 Rd,Truck Rental,Tier 1,I-45,4.6,0.5
32.3849,-97.396,Home Depot #6520,CLEBURNE,212 W Katherine P Raines Blvd,Truck Rental,Tier 1,I-35,3.4,3.0
30.6413,-96.3146,Home Depot #6559,COLLEGE STATION,1615 University Dr. East,Truck Rental,Off-corridor,,0.0,0.0
30.315,-95.4762,Home Depot #508,CONROE,1341 W Davis Street,Truck Rental,Tier 1,I-45,0.6,4.0
30.1807,-95.4516,Home Depot #6516,CONROE,19103 I-45,Truck Rental,Tier 1,I-45,0.6,1.6
31.1221,-97.8947,Cubesmart #6338,COPPERAS COVE,903 Industrial Ave,Truck Rental,Tier 1,I-35,11.3,8.8
27.7642,-97.4638,Penske Corpus Christi,CORPUS CHRISTI,5522 Bear Ln,Truck Rental,Off-corridor,,0.0,0.0
27.7115,-97.3788,Home Depot #0526,CORPUS CHRISTI,5041 S Padre Island Dr,Truck Rental,Off-corridor,,0.0,0.0
29.9706,-95.697,Home Depot #6586,CYPRESS,17928 Spring Cypress Rd,Truck Rental,Tier 2,I-10,0.4,0.9
32.8743,-96.9028,Penske Dallas,DALLAS,10801 Goodnight Ln,Truck Rental,Tier 1,I-35,1.6,2.9
32.774,-96.8265,Dallas Commerce,DALLAS,238 W Commerce,Truck Rental,Tier 1,I-35,1.2,0.2
32.8486,-96.6841,Home Depot #550,DALLAS,11255 Garland Rd,Truck Rental,Tier 1,I-45,1.0,0.2
32.8608,-96.7498,Home Depot #6804,DALLAS,6000 Skillman,Truck Rental,Tier 1,I-35,1.1,0.2
32.8086,-96.8918,Penske Dallas Irving Blv,DALLAS,4435 Irving Blvd,Truck Rental,Tier 1,I-35,2.7,1.1
32.7583,-96.8644,Home Depot #6816,DALLAS,2610 Fort Worth Ave,Truck Rental,Tier 1,I-35,1.0,0.9
32.8323,-96.8285,Home Depot #0589,DALLAS,6110 Lemmon Ave,Truck Rental,Tier 1,I-35,0.3,0.9
32.6822,-96.8922,Duncanville,DALLAS,5223 S Cockrell Hill Rd,Truck Rental,Tier 1,I-35,2.6,1.1
32.6244,-96.752,Penske South Dallas,DALLAS,10500 Bonnie View Rd,Truck Rental,Tier 1,I-45,3.4,4.6
29.395,-100.9067,Home Depot #6832,DEL RIO,2454 Veterans Blvd,Truck Rental,Off-corridor,,0.0,0.0
33.1947,-97.18,Penske Denton,DENTON,3570 Shelby Ln,Truck Rental,Tier 1,I-35,2.6,1.5
33.188,-97.0974,Home Depot #6840,DENTON,1900 Brinker Road,Truck Rental,Tier 1,I-35,0.5,2.4
31.732,-106.3134,Penske El Paso,EL PASO,11451 Chito Samaniego,Truck Rental,Tier 2,I-10,0.8,0.6
31.7605,-106.2673,Montwood Self Storage,EL PASO,1951 Joe Battle Blvd,Truck Rental,Tier 2,I-10,2.6,0.6
31.9107,-106.4189,Andersen Moving,EL PASO,9220 Mccombs,Truck Rental,Tier 2,I-10,8.5,0.4
31.8147,-106.5555,Penske El Paso Doniphan,EL PASO,4051 Doniphan Park Cir,Truck Leasing & Maintenance,Tier 2,I-10,3.5,0.4
31.8233,-106.4292,Plc Ft Bliss,FORT BLISS,1742 Victory Ave,Truck Rental,Tier 2,I-10,2.9,5.1
32.7669,-97.32,Penske Fort Worth,FORT WORTH,501 North Freeway,Truck Rental,Tier 1,I-35,1.6,3.0
32.9777,-97.2696,Compass Self Storage,FORT WORTH,4209 Alliance Gateway,Truck Rental,Tier 1,I-35,2.6,2.4
32.7281,-97.4469,Firefighting&#39;s Finest,FORT WORTH,3101 Reagan Dr,Truck Rental,Tier 1,I-35,0.8,3.0
32.8712,-97.3146,Home Depot #6814,FORT WORTH,7100 N Freeway,Truck Rental,Tier 1,I-35,0.4,1.1
32.7632,-97.2175,Home Depot #6534,FORT WORTH,1151 Bridgewood Dr,Truck Rental,Tier 1,I-35,3.0,3.0
32.634,-97.3076,Penske Fort Worth South,FORT WORTH,1300 John Burgess Dr,Truck Leasing & Maintenance,Tier 1,I-35,2.5,2.4
32.6864,-97.399,Home Depot #542,FORT WORTH,"4850 Sw Loop, 820 Bl R",Truck Rental,Tier 1,I-35,1.7,2.4
33.1588,-96.8332,Cubesmart #680,FRISCO,9500 Frisco St,Truck Rental,Tier 1,I-35,2.0,1.9
29.2899,-94.8437,Home Depot #6574,GALVESTON,702 65th St,Truck Rental,Tier 1,I-45,0.3,0.3
32.8914,-96.6656,Penske Garland,GARLAND,2255 S Shiloh Rd,Truck Rental,Tier 1,I-45,1.2,0.2
30.6473,-97.6909,Home Depot #6538,GEORGETOWN,1303 Rivery Blvd,Truck Rental,Tier 1,I-35,0.6,0.7
32.7964,-97.0466,Penske Grand Prairie,GRAND PRAIRIE,2765 N Great Sw Pkwy,Truck Rental,Tier 1,I-35,0.7,1.1
32.6797,-97.0069,Home Depot #507,GRAND PRAIRIE,3850 S Carrier Pkwy,Truck Rental,Tier 1,I-35,0.5,1.1
32.639,-97.063,Home Depot #8517,GRAND PRAIRIE,5280 South Hwy 360,Truck Rental,Tier 1,I-35,0.2,1.1
33.1324,-96.0451,Aerobic Enterprises,GREENVILLE,2061 I-30 Frontage Rd,Truck Rental,Off-corridor,,0.0,0.0
32.8381,-97.2769,Aloha Storage,HALTOM CITY,5029 Haltom Rd,Truck Rental,Tier 1,I-35,1.8,1.7
26.1978,-97.7203,Penske Harlingen,HARLINGEN,824 N Expressway 77,Truck Rental,Off-corridor,,0.0,0.0
29.8393,-95.5048,Penske Houston Langtry Street,HOUSTON,7505 Langtry St,Truck Rental,Tier 2,I-10,2.0,2.3
29.7848,-95.2635,Penske Houston East,HOUSTON,351 Gellhorn,Truck Rental,Tier 2,I-10,1.1,3.0
29.8666,-95.3316,Home Depot #6806,HOUSTON,10600 Eastex Freeway,Truck Rental,Tier 1,I-45,4.4,2.4
29.9931,-95.4889,Home Depot #6828,HOUSTON,4159 Fm 1960 W,Truck Rental,Tier 1,I-45,3.8,0.6
29.696,-95.3052,Penske Houston South Loop East,HOUSTON,6800 South Loop East Fwy,Truck Rental,Tier 1,I-45,1.3,1.1
29.7236,-95.4598,Home Depot #0566,HOUSTON,5445 W Loop S,Truck Rental,Tier 2,I-10,1.0,1.2
29.8171,-95.4816,Penske Houston West,HOUSTON,11608 Hempstead Hwy,Truck Rental,Tier 2,I-10,0.3,2.3
29.8124,-95.4172,Home Depot #0577,HOUSTON,999 N Loop W,Truck Rental,Tier 1,I-45,0.5,2.4
30.0011,-95.5806,Home Depot #6512,HOUSTON,21530 Sh 249,Truck Rental,Tier 1,I-45,0.4,0.9
29.7028,-95.5595,Home Depot #0584,HOUSTON,6800 W Sam Houston,Truck Rental,Tier 2,I-10,2.0,0.8
29.7394,-95.5149,Home Depot #6558,HOUSTON,8400 Westheimer,Truck Rental,Tier 2,I-10,1.4,2.3
29.9206,-95.6076,Home Depot #6838,HOUSTON,12727 Fm 1960 W,Truck Rental,Tier 2,I-10,0.6,0.8
29.9906,-95.4205,Penske Houston Airtex,HOUSTON,221 E Airtex Dr,Truck Rental,Tier 1,I-45,0.6,0.6
29.6639,-95.6418,Home Depot #6860,HOUSTON,10419 Highway 6 South,Truck Rental,Tier 2,I-10,1.9,0.5
29.7278,-95.6461,Home Depot #0585,HOUSTON,2828 S Highway 6,Truck Rental,Tier 2,I-10,0.6,0.9
29.8761,-95.643,Home Depot #6506,HOUSTON,6800 Highway 6 North,Truck Rental,Tier 2,I-10,0.2,0.5
32.7516,-97.7248,Compass Storage,HUDSON OAKS,3750 I Hwy 20,Truck Rental,Tier 1,I-35,0.1,3.0
29.9999,-95.2452,Aj&#39;S Small Engine Repair,HUMBLE,2021 E Fm 1960 Bypass,Truck Rental,Tier 1,I-45,2.2,2.2
30.547,-97.55,Home Depot #8439,HUTTO,600 W Highway 79,Truck Rental,Tier 1,I-35,3.6,1.7
32.9232,-96.9803,Home Depot #6557,IRVING,8555 Home Depot Drive,Truck Rental,Tier 1,I-35,0.7,2.3
29.7845,-95.8774,Penske Katy,KATY,29335 Highway Blvd,Truck Rental,Tier 2,I-10,1.8,1.4
29.786,-95.7193,Home Depot #0534,KATY,1111 Fry Road,Truck Rental,Tier 2,I-10,0.4,0.9
29.7169,-95.775,Home Depot #6561,KATY,6850 S Fry Road,Truck Rental,Tier 2,I-10,4.1,0.4
32.9047,-97.2571,Home Depot #6548,KELLER,2013 Hwy 377,Truck Rental,Tier 1,I-35,1.9,1.1
30.0616,-99.1202,Home Depot #6576,KERRVILLE,1789 Sidney Baker Street,Truck Rental,Tier 2,I-10,0.5,3.7
31.0805,-97.7049,Strings Enterprises,KILLEEN,3700 Bacon Ranch Rd,Truck Rental,Tier 1,I-35,0.3,11.1
30.0358,-95.2547,Sinotex Storage Kingwood,KINGWOOD,22200 Highway 59 North,Truck Rental,Tier 1,I-45,2.2,0.1
30.023,-97.8558,Home Depot #8454,KYLE,3730 Dry Hole Dr,Truck Rental,Tier 1,I-35,0.4,1.5
29.0434,-95.4557,Home Depot #6517,LAKE JACKSON,100 Abner Jackson Pkwy,Truck Rental,Off-corridor,,0.0,0.0
32.816,-97.4094,Home Depot #6549,LAKE WORTH,3950 Jim Wright Frwy,Truck Rental,Tier 1,I-35,4.4,1.7
32.595,-96.8198,Home Depot #8976,LANCASTER,500 N. Interstate 35e,Truck Rental,Tier 1,I-35,1.6,3.1
29.4991,-95.1117,Home Depot #1853,LEAGUE CITY,3200 S Gulf Freeway,Truck Rental,Tier 1,I-45,0.2,0.5
33.0542,-97.0127,Home Depot #524,LEWISVILLE,901 N Stemmons Pkwy,Truck Rental,Tier 1,I-35,0.2,1.9
32.5689,-94.7334,Arrow Rental,LONGVIEW,4158 Us-259,Truck Rental,Off-corridor,,0.0,0.0
33.5487,-101.831,Penske Lubbock,LUBBOCK,512 E 50th St,Truck Rental,Off-corridor,,0.0,0.0
33.5415,-101.9336,Home Depot #0505,LUBBOCK,5801 W Loop 289,Truck Rental,Off-corridor,,0.0,0.0
31.3475,-94.7127,The Paint Store,LUFKIN,1421 Atkinson Dr,Truck Rental,Off-corridor,,0.0,0.0
30.2239,-95.5598,Home Depot #6819,MAGNOLIA,6119 Fm 1488,Truck Rental,Tier 1,I-45,4.1,4.0
30.5835,-98.2715,Home Depot #0514,MARBLE FALLS,1307 Mormon Mill R3,Truck Rental,Off-corridor,,0.0,0.0
26.2181,-98.2597,Affordable Attic Storage,MCALLEN,1001 N Ware Rd,Truck Rental,Off-corridor,,0.0,0.0
33.1653,-96.6438,El Monte RV,MCKINNEY,3500 S Central Expwy,Truck Rental,Tier 1,I-35,1.2,1.9
33.2142,-96.7329,Home Depot #6809,MCKINNEY,252 N Custer Rd,Truck Rental,Tier 1,I-35,4.2,1.9
32.8031,-96.6274,Home Depot #6537,MESQUITE,18855 Interstate 635,Truck Rental,Tier 1,I-45,1.2,0.2
31.9306,-102.222,Rock It Resources,MIDLAND,3014 N Fm 1788,Truck Rental,Off-corridor,,0.0,0.0
29.7012,-98.0894,Home Depot #8520,NEW BRAUNFELS,1360 N Ih 35,Truck Rental,Tier 1,I-35,1.9,2.7
31.8639,-102.3246,Penske Odessa,ODESSA,301 S Pagewood,Truck Rental,Off-corridor,,0.0,0.0
29.546,-95.229,Home Depot #6543,PEARLAND,1514 Broadway St,Truck Rental,Tier 1,I-45,3.9,1.5
30.4914,-97.6533,Home Depot #6808,PFLUGERVILLE,1517 Town Center Dr,Truck Rental,Tier 1,I-35,2.4,1.7
26.2273,-98.1793,Penske Pharr,PHARR,3801 N Cage,Truck Rental,Off-corridor,,0.0,0.0
33.0993,-96.7949,Home Depot #527,PLANO,4600 State Highway 121,Truck Rental,Tier 1,I-35,0.8,1.9
33.0174,-96.7092,Home Depot #0539,PLANO,1224 N Central Expy,Truck Rental,Tier 1,I-35,0.7,2.3
33.0522,-96.6912,Penske Plano Rental Mart,PLANO,5001 K Ave,Truck Rental,Tier 1,I-35,0.5,1.9
33.221,-96.8333,Longo Toyota Of Prosper,PROSPER,2100 W. University Dr.,Truck Rental,Tier 1,I-35,2.1,1.9
32.9839,-96.7681,Home Depot #6504,RICHARDSON,2220 North Coit Road,Truck Rental,Tier 1,I-35,0.7,2.3
32.9084,-96.4366,205 Diesel Repair,ROCKWALL,1611 State Highway 276,Truck Rental,Tier 1,I-45,1.0,0.2
29.546,-95.7562,Home Depot #6530,ROSENBURG,24400 Commercial Drive,Truck Rental,Tier 2,I-10,3.8,0.4
30.5188,-97.6922,Penske Round Rock,ROUND ROCK,1302 Chisholm Trail Rd,Truck Rental,Tier 1,I-35,0.3,1.7
31.4431,-100.3839,Dry Dock Self Storage,SAN ANGELO,3538 Paint Rock Rd,Truck Rental,Off-corridor,,0.0,0.0
29.4254,-98.4258,Penske San Antonio,SAN ANTONIO,3641 E Houston St,Truck Rental,Tier 2,I-10,1.5,1.9
29.5156,-98.7569,Storage King Usa,SAN ANTONIO,13806 Galm Rd,Truck Rental,Tier 2,I-10,3.6,0.1
29.5134,-98.4828,Home Depot #6544,SAN ANTONIO,435 Sunset Rd West,Truck Rental,Tier 2,I-10,1.1,2.8
29.4328,-98.6477,Home Depot #0586,SAN ANTONIO,611 Sw Loop 410,Truck Rental,Tier 2,I-10,1.1,3.1
29.5118,-98.3944,Home Depot #580,SAN ANTONIO,4909 Windsor Hill,Truck Rental,Tier 1,I-35,0.5,0.9
29.4917,-98.5865,Home Depot #581,SAN ANTONIO,5101 Cambray Dr,Truck Rental,Tier 2,I-10,1.2,2.8
29.6336,-98.4549,Home Depot #6550,SAN ANTONIO,20740 Us Hwy 281 North,Truck Rental,Tier 1,I-35,2.6,1.0
29.5656,-98.5894,Home Depot #0588,SAN ANTONIO,12871 W Interstate 10,Truck Rental,Tier 2,I-10,0.7,0.1
29.558,-98.6662,Home Depot #6547,SAN ANTONIO,9115 N Loop 1604 W,Truck Rental,Tier 2,I-10,0.6,0.1
29.6004,-98.2987,Penske San Antonio North,SELMA,17582 Lookout Rd,Truck Leasing & Maintenance,Tier 1,I-35,1.0,0.8
33.6821,-96.5838,Blue Dot Storage,SHERMAN,2816 Lindley Drive,Truck Rental,Off-corridor,,0.0,0.0
30.0722,-95.489,Texas Mega Storage,SPRING,4625 Fm 2920,Truck Rental,Tier 1,I-45,1.9,1.6
30.056,-95.4329,Home Depot #568,SPRING,20131 N I-45,Truck Rental,Tier 1,I-45,0.5,0.1
29.6015,-95.6328,Cubesmart #6851,SUGARLAND,1450 Highway 6,Truck Rental,Tier 2,I-10,0.6,0.5
33.141,-95.5676,Service Rent-all,SULPHUR SPRINGS,1411 Shannon Road,Truck Rental,Off-corridor,,0.0,0.0
32.6848,-96.3838,Lone Wolf Sales &amp; Service,TERRELL,8525 Michael Talty Ave,Truck Rental,Tier 1,I-45,4.2,3.3
33.4539,-94.0536,Summerhill Storage,TEXARKANA,3415 Summerhill Rd,Truck Rental,Off-corridor,,0.0,0.0
33.0732,-96.8764,Home Depot #6562,THE COLONY,5321 Hwy 121,Truck Rental,Tier 1,I-35,1.6,1.9
32.3431,-95.3596,Pit Stop Oil &amp; Lube 3051,TYLER,5030 Hwy 31,Truck Rental,Off-corridor,,0.0,0.0
28.8632,-97.0046,Home Depot #6587,VICTORIA,6708 Ne Zac Lentz Pkwy,Truck Rental,Off-corridor,,0.0,0.0
31.5093,-97.0996,Penske Waco,WACO,1900 S Loop 340,Truck Rental,Tier 1,I-35,2.2,0.2
31.5197,-97.1802,Home Depot #6532,WACO,5605 W Waco Dr,Truck Rental,Tier 1,I-35,1.6,0.2
32.8693,-97.2379,Rufe Snow Depot,WATAUGA,6707 Rufe Snow Dr,Truck Rental,Tier 1,I-35,1.9,1.1
32.4198,-96.8435,Advantage Self Storage,WAXAHACHIE,1051 W Hwy 287 Bypass,Truck Rental,Tier 1,I-35,1.3,4.1
32.7566,-97.8184,Brazos Movers,WEATHERFORD,1305 Ranger Hwy,Truck Rental,Off-corridor,,0.0,0.0
29.5852,-95.1821,Home Depot #1859,WEBSTER,18251 Gulf Freeway,Truck Rental,Tier 1,I-45,0.4,1.5
33.9282,-98.509,Consignment Sales,WICHITA FALLS,1122 Sheppard Access Rd,Truck Rental,Off-corridor,,0.0,0.0
29.7858,-95.8245,Penske Katy,KATY,33620 Pin Oak Parkway,Truck Leasing & Maintenance,Tier 2,I-10,0.8,0.4
30.6302,-96.354,Penske Bryan,BRYAN,1650 Independence Avenue,Truck Leasing & Maintenance,Off-corridor,,0.0,0.0
27.5618,-99.4574,Penske Laredo,LAREDO,8401 Killam Industrial Blvd,Truck Leasing & Maintenance,Tier 1,I-35,0.6,4.1
32.6559,-97.3441,Penske Fort Worth,FORT WORTH,1300 John Burgess Drive,Truck Leasing & Maintenance,Tier 1,I-35,0.9,2.4
35.1866,-101.843,Penske Amarillo,AMARILLO,2004 S Bolton Street,Truck Leasing & Maintenance,Off-corridor,,0.0,0.0
